Nauru,Reindeer,1,7288
Ghana,Hemitriakis,2,55030
Cyprus,Coccinellidae,3,7638
Denmark,Wren,4,54619
Sudan,Swallow,5,70075
South_Carolina,Chamois,6,28679
Oregon,Angel_shark,7,9295
Turkey,Dogfish,8,7432
Nebraska,Squaliformes,9,93972
NEW_ZEALAND,Goose,10,79466
Pennsylvania,Lamna,11,19711
Missouri,Jaguar,12,87813
Ireland,Lion,13,20092
New_Jersey,Goldfinch,14,84784
NEW_ZEALAND,Quail,15,39126
Oregon,Zebra,16,49730
Turkey,Badger,17,92233
Mississippi,Echinorhinus,18,79413
Lithuania,Gorilla,19,30723
Serbia,Orectolobus,20,32182
Barbados,Otter,21,46289
Spain,Snipe,22,67458
Finland,Hawk,23,17703
Turkey,Reindeer,24,52608
Nepal,Swallow,25,17139
