Mississippi,Heron,49925,10238
Uruguay,American_Bison,49926,52188
Australia,Heron,49927,34664
France,Heron,49928,9050
Pennsylvania,Columbidae,49929,5991
Hawaii,Hemitriakis,49930,66298
Malawi,Fox,49931,37333
Sweden,Mule,49932,49865
Singapore,Giant_Panda,49933,88156
Nepal,Human,49934,59337
Japan,Prionace,49935,41579
New_Jersey,Flamingo,49936,93716
France,Hawk,49937,76230
Nebraska,Camel,49938,92977
Vatican_City,Giraffe,49939,2478
Malawi,Sawshark,49940,52915
Uzbekistan,Lamniformes,49941,30833
Nepal,Partridge,49942,92022
Uganda,Dogfish,49943,11349
Nauru,Louse,49944,72467
Mississippi,Rhizoprionodon,49945,80016
Tunisia,Crow,49946,83843
Malawi,Badger,49947,79569
Malaysia,Prionace,49948,37066
Sudan,Mule,49949,70592
