Malawi,Hemiscyllium,49801,87185
Tuvalu,Human,49802,85763
Tuvalu,Lamniformes,49803,5700
Hawaii,Mouse,49804,21644
Morocco,Whale_Shark,49805,68407
Madagascar,Human,49806,65971
Rhode_Island,Flamingo,49807,37121
France,Pygmy_Shark,49808,14538
Maine,Reindeer,49809,52724
Massachusetts,Whale_Shark,49810,16173
New_Jersey,Angel_shark,49811,76887
Serbia,Hyena,49812,41889
Virginia,Coccinellidae,49813,83683
Cyprus,Isurus,49814,22101
Thailand,Jaguar,49815,77012
Maine,Giant_Panda,49816,24168
Malta,Carcharhiniformes,49817,64578
South_Carolina,Columbidae,49818,39138
Michigan,Goose,49819,55050
Samoa,Polecat,49820,56557
MARSHALL_ISLANDS,Partridge,49821,28412
Florida,Angel_shark,49822,92901
Florida,Mallard,49823,22615
Hawaii,Isogomphodon,49824,22767
DOMINICAN_REPUBLIC,Dolphin,49825,25905
