NEW_ZEALAND,Hamster,25101,31014
Ecuador,Lamna,25102,24805
Hawaii,Swallow,25103,98336
Massachusetts,Fish,25104,81953
Ghana,Hornet,25105,6825
Missouri,Gerbil,25106,38668
Japan,Anatidae,25107,4366
Australia,Cirrhoscyllium,25108,18178
DOMINICAN_REPUBLIC,Carcharhinus,25109,66753
CZECH_REPUBLIC,Wren,25110,6453
Australia,Peafowl,25111,67167
Nebraska,Giraffe,25112,78555
Colombia,Reindeer,25113,49493
Alabama,Cirrhoscyllium,25114,21405
Namibia,Manatee,25115,25872
Romania,Swan,25116,37444
Kiribati,Jaguar,25117,9017
Alaska,Coccinellidae,25118,71064
Morocco,Sheep,25119,58941
Tennessee,Skunk,25120,4019
Canada,Whale_Shark,25121,29558
Michigan,American_Bison,25122,1751
Morocco,Lamniformes,25123,24720
Italy,Crow,25124,73664
Namibia,Jackal,25125,62569
